# x, y, z, vx, vy, vz, species
5.80361 0.480314 9.93036 -0.0489153 -0.052857 0.021997 0
5.45372 4.17424 7.93422 0.000392334 0.000321626 -0.00023091 1
15.0999 0.604869 6.55996 0.0341506 -0.0128728 -0.0083185 0
9.21876 11.7028 2.04425 0.000401211 -0.00035614 0.000128094 1
13.9323 9.04808 3.76365 -0.00726378 -0.00336873 0.008705 0
8.54774 7.94424 6.23252 -0.000152831 -7.8989e-05 -0.000130587 1
0.902489 15.3702 13.7029 0.0175747 0.000175361 0.015578 0
7.888 1.33755 1.4699 -3.32507e-05 0.000509308 0.000276476 1
3.45097 15.1523 12.5002 0.00901203 0.00929412 0.00182301 0
13.4159 6.81695 3.56327 2.0969e-05 -4.2241e-05 0.000201336 1
2.2788 8.17881 3.73993 -0.0124687 -0.00393489 0.00333614 0
14.5224 9.47459 5.6031 -6.62006e-05 0.00044706 -4.18179e-05 1
5.92527 11.5229 4.26848 0.0217978 0.069583 0.0444153 0
9.14212 11.8573 12.2764 -0.000157357 0.000183663 0.000118839 1
10.9587 3.75436 6.50617 -0.00594391 0.0027537 0.00820879 0
12.8278 15.6463 8.89554 -0.000593881 -3.43986e-07 -3.90465e-05 1
14.796 14.6984 3.89409 -0.013513 -0.0135089 -0.036003 0
4.71085 15.9316 11.154 -9.72862e-05 -0.000194425 0.00031063 1
14.5762 15.266 0.870182 -0.0120551 -0.00370955 -0.00618201 0
10.3473 6.20918 3.66845 -0.000237211 -0.000311976 -0.000187056 1
4.17669 6.92017 0.474091 0.0146763 -0.0551315 -0.0113908 0
2.12746 1.21518 15.0524 -0.000350398 -0.000402581 0.000391766 1
14.6958 1.08163 13.9145 0.00049187 -0.0295065 -0.0264684 0
7.68914 15.7679 6.02644 0.000326608 0.000339951 -0.000133987 1
13.2195 9.17748 0.980531 0.00977759 0.00888723 -0.0025289 0
9.36303 11.6165 12.1101 5.12237e-05 -0.00013616 -0.00032585 1
3.27731 4.0002 4.40397 0.00677299 -0.0131465 -0.00219362 0
13.2938 4.92758 13.0631 -0.000818059 0.000315583 7.92405e-05 1
7.70773 6.76113 12.8005 0.00721834 -0.0236531 0.0457983 0
15.688 9.72967 10.1844 9.01914e-05 4.48819e-05 -0.00017058 1
11.6938 8.86465 7.26481 0.0170091 0.0285971 0.00211911 0
12.748 7.34841 13.4737 0.000431737 -0.000120853 3.19311e-05 1
5.77459 3.64127 9.42939 0.114549 0.0390152 0.0177491 0
6.41038 11.1666 2.87929 0.000553973 0.000383827 -0.000193023 1
13.9641 8.056 15.5888 -0.0151633 -0.0184874 -0.0124518 0
5.56092 0.510249 8.77458 -7.08833e-05 0.000166971 -0.000463448 1
14.3205 2.06936 5.26851 0.00213061 -0.00164401 -0.00691707 0
8.19104 2.50972 6.03692 0.000440373 -0.000212909 1.44193e-05 1
15.6909 8.79265 14.8524 -0.00773059 0.0350754 0.0314352 0
1.00162 2.36494 2.13186 0.000414259 0.000117527 0.00019666 1
11.7834 0.402745 13.7591 -0.0407952 0.00934858 -0.0221136 0
2.91726 9.02137 13.4515 6.96161e-05 -0.000218208 1.27487e-05 1
3.61361 5.50093 7.45498 -0.0341236 -0.0168428 -0.00773539 0
11.7951 8.92634 9.37988 0.000609196 0.00025358 -0.000462758 1
5.20071 14.4041 9.72789 -0.022953 -0.00360988 -0.00581075 0
0.121722 3.60526 5.84849 0.000117435 2.89374e-07 0.00027674 1
1.58535 13.0113 0.953181 0.0563415 0.0196128 0.0222594 0
13.1379 11.4952 8.56349 0.00040069 -1.88814e-05 0.000294247 1
3.33421 15.3865 11.4005 0.0195506 -0.035778 0.00423539 0
12.2888 1.39783 8.09723 0.000420374 0.000121201 -4.90883e-05 1
9.72624 6.04722 6.75016 -0.0439386 -0.0181938 -0.166657 0
1.40725 2.21881 0.0432365 0.000120538 -0.000237197 -9.22196e-06 1
9.76696 12.8026 1.62909 0.000824094 0.0155109 -0.0263862 0
15.8565 3.28108 6.06807 0.000156524 0.00016187 3.83087e-05 1
0.854856 12.473 13.1724 0.011888 -0.0242772 -0.0103991 0
3.77012 10.1362 14.5277 -8.68334e-05 -0.000386563 0.000187433 1
11.0311 7.24291 11.5427 0.00323951 -0.0174209 0.00490912 0
9.2345 5.68597 6.26201 -0.000495416 2.77494e-05 -0.000178274 1
3.64096 8.97466 7.03791 0.00743391 0.0598102 0.0833388 0
14.0558 7.92926 11.8655 -0.000235307 0.000272607 0.000223839 1
12.4881 2.34805 3.45483 0.0224684 0.0288703 0.0346694 0
8.58311 6.06732 7.31232 1.97893e-05 0.000662984 4.69599e-05 1
8.77848 8.16514 6.6703 -0.00579279 0.0838548 0.000140654 0
13.2304 15.3419 5.47946 0.000165985 -0.000324215 -8.03395e-05 1
4.63282 9.91077 14.6355 0.0198428 0.0184363 -0.00105187 0
14.6981 12.643 0.371233 -0.000188205 0.000165612 0.0002917 1
5.97774 0.918197 1.17025 -0.00740739 -0.0456275 -0.0152124 0
5.31532 4.98636 3.63465 9.40504e-05 0.000315346 -0.000365182 1
12.0067 3.21129 12.6143 0.0224246 0.00571309 0.0224282 0
14.7698 7.45302 7.6938 0.000247334 0.000186876 4.249e-05 1
0.57067 14.6246 4.08424 0.0175677 0.0311785 0.0101418 0
3.51991 3.40389 8.24276 -0.000164814 9.39428e-05 8.37774e-07 1
8.72313 13.5372 8.45401 -0.0157838 -0.0347778 0.0144963 0
6.8265 12.7951 5.59537 -0.000215821 -0.000141351 0.000505741 1
