# x, y, z, vx, vy, vz, species
15.9393 15.4468 8.93263 -0.000395338 4.23744e-05 -3.40333e-05 1
4.47572 11.2008 13.577 0.00173445 -0.00290478 0.0113204 0
5.95692 15.0416 15.5782 0.000195659 -0.000254186 -0.000231041 1
7.76889 7.16357 15.8981 -7.47194e-05 -0.00434874 -0.00439892 0
11.5357 4.92904 8.6817 0.000311488 3.3881e-05 0.000525112 1
4.00903 9.44682 15.646 0.00135048 -0.000929456 -0.00909679 0
10.3207 10.7021 13.8267 -0.000452198 -0.000367081 -2.79603e-06 1
9.15431 12.2969 0.691446 -0.000172372 0.00102212 -0.00349653 0
11.9638 15.2499 5.29299 0.000138583 0.000365554 0.000495519 1
15.6705 1.1932 4.88477 -0.00939807 -0.0071333 -0.00516715 0
6.31398 13.5081 14.8797 -0.000539412 0.000321438 -0.000270302 1
4.08508 4.73242 5.1372 0.000311453 0.00462201 -0.00793867 0
4.099 9.78416 1.30525 -0.000155866 -2.69079e-05 -0.000125168 1
14.1768 0.467198 9.25414 -0.00380534 0.0077025 -0.00389792 0
15.709 13.4221 13.7666 -0.000210386 -0.00043949 8.26849e-05 1
5.23096 13.2456 4.34917 -0.00179905 -0.000630161 -0.00125833 0
6.58148 11.1913 2.21304 -8.63489e-05 -0.000465395 -0.000304081 1
11.8917 4.01428 2.95071 -0.00465109 0.00361938 -0.0018286 0
14.6432 7.0779 3.83668 -8.98551e-05 0.000126421 3.3511e-05 1
8.27457 10.4986 6.95924 0.00606048 -0.00400125 -0.000464148 0
1.46863 1.50702 4.98236 -7.91878e-05 0.000248576 -0.000123943 1
7.44608 10.4056 0.77684 0.00363982 0.00885536 0.00420945 0
9.85452 15.1027 15.1082 0.000451228 0.00021591 8.47845e-05 1
12.8094 10.8445 9.18764 -0.00488501 0.00957876 0.00178885 0
13.127 10.4234 3.30654 0.000103517 -0.000158509 -0.000200394 1
6.02257 0.63693 9.87322 0.00198029 0.000686227 -0.00856059 0
5.45072 4.17173 7.93611 0.000364151 0.000308187 -0.0002421 1
14.999 0.627728 6.65943 0.00888791 0.000804126 -0.00784867 0
9.21558 11.7057 2.04327 0.000391794 -0.000356759 0.000114736 1
13.8932 9.00838 3.79325 0.0119839 0.00468873 -0.0131534 0
8.54895 7.94484 6.23361 -0.000144002 -6.94576e-05 -0.000136842 1
0.85325 15.3392 13.5844 -0.00178416 -0.0024215 0.00985684 0
7.88832 1.33355 1.46779 -4.38217e-05 0.000500151 0.000260849 1
3.40966 15.1609 12.4985 0.00330303 0.00109217 -0.00440359 0
13.4157 6.81735 3.56163 1.32125e-05 -5.57404e-05 0.00019795 1
2.34894 8.22454 3.74912 0.000846567 -0.000865087 0.0137984 0
14.523 9.47109 5.60341 -7.41318e-05 0.000434629 -3.9135e-05 1
6.02724 11.2772 3.95219 -0.00274823 0.00567887 -0.0113159 0
9.1433 11.8559 12.2754 -0.000134109 0.00016919 0.000131591 1
10.8897 3.78659 6.41806 -0.00854069 -0.00447408 0.00276185 0
12.8325 15.6464 8.89596 -0.000600599 -2.62175e-05 -6.31098e-05 1
14.8015 14.7012 4.04733 0.00646982 0.00160865 0.00294573 0
4.71168 15.933 11.1515 -0.000112715 -0.000159096 0.000322464 1
14.6439 15.3296 0.916015 0.00285467 -0.0012904 -0.00686995 0
10.3491 6.21167 3.66994 -0.000230011 -0.000314675 -0.000186415 1
4.14173 7.23678 0.526958 0.000351877 -0.00767167 0.00593976 0
2.13026 1.2184 15.0493 -0.000352019 -0.000403682 0.00039412 1
14.7096 1.31012 14.0203 -0.00060206 -0.00351019 -0.00065849 0
7.68657 15.7652 6.02754 0.000326292 0.000336654 -0.000143229 1
13.2882 9.11258 1.01477 0.00328214 0.00510924 -0.0062551 0
9.36254 11.6176 12.1127 7.40639e-05 -0.00015028 -0.000313753 1
3.27402 4.02825 4.39161 -0.00460562 0.00275771 -0.00200872 0
13.3003 4.92506 13.0624 -0.000820712 0.000314673 9.85105e-05 1
7.68276 6.74937 12.569 -0.00414023 0.00835858 0.00486201 0
15.6875 9.72946 10.1859 5.65781e-05 2.23927e-05 -0.000214725 1
11.6307 8.75643 7.21914 0.00273985 -0.00013983 0.00299372 0
12.7444 7.34933 13.4735 0.000444523 -0.000108442 1.90711e-05 1
5.52378 3.35371 9.25652 -0.0125783 0.00406875 -0.00594131 0
6.4059 11.1635 2.88073 0.000546449 0.000392787 -0.00017361 1
14.0005 8.22766 15.5849 0.00603385 -0.00405743 0.00277379 0
5.56168 0.509117 8.77844 -0.000114211 0.000124304 -0.000500458 1
14.3055 2.05504 5.27921 0.000950979 0.00438348 -0.000405849 0
8.18743 2.51128 6.03666 0.000457395 -0.000182256 4.23462e-05 1
15.7653 8.5989 14.7862 -0.00949103 0.00617488 -0.00168912 0
0.998292 2.36405 2.13027 0.000414242 0.000113827 0.000198261 1
11.9633 0.477489 13.8685 -0.0139115 0.00187846 6.83241e-05 0
2.91668 9.02303 13.4514 7.02409e-05 -0.000201889 1.29078e-05 1
3.70895 5.50814 7.57345 -0.00664522 0.00716905 -0.00273145 0
11.7904 8.92437 9.38363 0.000602777 0.000240046 -0.000469714 1
5.37285 14.3907 9.70884 -0.00908542 -0.00355956 -0.0124379 0
0.120782 3.60531 5.84626 0.000116312 -9.46194e-06 0.000274863 1
1.40794 12.9091 0.889175 0.000418282 0.00742541 -0.000206735 0
13.1346 11.4953 8.56117 0.000417471 -1.61621e-05 0.000288861 1
3.26764 15.4934 11.3809 -0.004941 -0.0015966 0.00445322 0
12.2853 1.39687 8.09757 0.00042998 0.000114396 -4.87171e-05 1
9.53479 5.95237 7.25195 0.0120933 0.0269242 -0.00787967 0
1.40618 2.22072 0.0433427 0.000141885 -0.000232846 -1.44079e-05 1
9.70941 12.7166 1.70542 0.00673036 0.00373444 -0.000462306 0
15.8552 3.28019 6.06774 0.000159261 8.24078e-05 4.14347e-05 1
0.785456 12.4957 13.2541 0.00881313 -0.018645 0.000352716 0
3.77086 10.1393 14.5262 -9.86035e-05 -0.000392898 0.000191878 1
10.9439 7.23296 11.4408 0.00718633 -0.00187846 0.0043887 0
